optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
refine-PSO,0.09,0.2,0.16,1.994651,0.088266,0.339206,0.135407,24.535699,0.087909,0.55411,0.102657,44.779581,0.013089,0.0087,0.021288,0.021736,3.542259,0.126547,27.991736,3.036073
refine-PSO,0.089997,0.2,0.158769,2.053496,0.089999,0.335713,0.133516,23.475875,0.088056,0.544205,0.10261,44.495955,0.012874,0.0087,0.019539,0.022544,3.537178,0.125843,28.1079,3.033807
refine-PSO,0.089999,0.2,0.159456,1.870315,0.089999,0.336551,0.134253,23.324943,0.088332,0.527719,0.102485,44.414478,0.012442,0.008703,0.02172,0.01898,3.523222,0.12025,29.299217,3.042223
refine-PSO,0.09,0.200015,0.158301,1.782572,0.09,0.329914,0.135732,23.686387,0.087972,0.548358,0.103075,44.948443,0.012564,0.008708,0.020154,0.022899,3.521511,0.122254,28.804984,3.032497
refine-PSO,0.09,0.200001,0.158462,1.626112,0.089495,0.343934,0.134068,23.499847,0.089221,0.544758,0.103092,44.786826,0.012255,0.0087,0.018898,0.022488,3.485663,0.121065,28.791572,3.001401
refine-PSO,0.09,0.2,0.158859,1.928858,0.089384,0.338638,0.132748,23.746772,0.088477,0.544642,0.101805,44.790966,0.012565,0.0087,0.019386,0.023481,3.525099,0.126279,27.915223,3.019984
refine-PSO,0.09,0.2,0.158093,1.6785,0.08886,0.345337,0.13492,23.689296,0.0873,0.546088,0.101341,44.98976,0.012651,0.0087,0.020216,0.022221,3.524689,0.123292,28.588062,3.031519
refine-PSO,0.089998,0.2,0.15863,1.93112,0.089998,0.33873,0.133992,23.449899,0.088451,0.537886,0.102685,44.548622,0.01257,0.0087,0.019615,0.02264,3.522229,0.124292,28.338331,3.025061
refine-PSO,0.09,0.2,0.159679,1.935604,0.09,0.337145,0.135426,24.953304,0.087961,0.560684,0.102975,44.565466,0.013034,0.0087,0.01994,0.02299,3.554973,0.126034,28.206427,3.050836
refine-PSO,0.09,0.2,0.158869,2.024986,0.09,0.33768,0.133607,23.685278,0.088726,0.544521,0.102599,44.666602,0.012823,0.0087,0.019565,0.022535,3.527326,0.125101,28.195813,3.026922
refine-PSO,0.09,0.2,0.158891,1.872582,0.09,0.338909,0.133548,23.455788,0.088371,0.537232,0.102636,44.556803,0.012648,0.0087,0.022238,0.020057,3.541949,0.122737,28.857956,3.050999
refine-PSO,0.089995,0.2,0.158846,1.935686,0.088606,0.337359,0.135439,23.409546,0.087903,0.54619,0.102923,44.632942,0.012567,0.0087,0.020027,0.021536,3.539739,0.123697,28.616259,3.044952
refine-PSO,0.09,0.2,0.158539,1.757102,0.089383,0.341515,0.133898,23.624816,0.088037,0.548762,0.101532,44.774674,0.012205,0.0087,0.019863,0.022483,3.538013,0.122494,28.883194,3.048038
refine-PSO,0.089986,0.2,0.159112,1.926408,0.089605,0.338767,0.133722,23.571759,0.088755,0.542419,0.102055,44.741764,0.012578,0.0087,0.020613,0.021481,3.548416,0.124615,28.475102,3.049957
refine-PSO,0.09,0.2,0.158295,2.021536,0.088922,0.353573,0.134535,23.620839,0.087617,0.545602,0.101748,44.272849,0.012635,0.0087,0.019608,0.021921,3.519595,0.124706,28.223043,3.020769
refine-PSO,0.089999,0.2,0.158848,1.933971,0.09,0.338695,0.133995,23.711415,0.088425,0.536273,0.102638,44.764524,0.012567,0.0087,0.019613,0.022684,3.546072,0.123533,28.705397,3.051939
refine-PSO,0.09,0.2,0.158642,1.905138,0.09,0.337014,0.135181,23.495373,0.088183,0.546485,0.102614,44.59901,0.012368,0.0087,0.01897,0.023583,3.531302,0.121631,29.033025,3.04478
