optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
PSO,0.061514,0.200116,0.151433,0.704333,0.067374,0.391867,0.129732,24.253354,0.079415,0.503068,0.12522,43.004062,0.015824,0.011497,0.01038,-0.002653,3.111013,0.104424,29.792114,2.693317
PSO,0.064622,0.202745,0.152649,1.75622,0.068464,0.407689,0.135681,23.945777,0.08627,0.50497,0.124797,43.293073,0.016914,0.011792,0.019141,0.008916,3.334045,0.11593,28.759068,2.870324
PSO,0.062208,0.200874,0.151213,3.06472,0.057548,0.314407,0.131247,25.400337,0.078043,0.494986,0.12391,40.628988,0.015889,0.009923,0.020168,0.011403,3.331127,0.123833,26.900205,2.835796
PSO,0.065314,0.204028,0.151262,2.406117,0.067608,0.40367,0.132664,24.164406,0.083931,0.510194,0.124979,43.222156,0.016142,0.01163,0.011679,0.004123,3.385674,0.123666,27.37747,2.891008
PSO,0.071051,0.202161,0.127034,2.850385,0.062754,0.406609,0.129955,24.438022,0.078659,0.526375,0.120277,38.765748,0.01707,0.011237,0.00904,-0.003324,3.195669,0.13036,24.514247,2.674231
PSO,0.064988,0.20246,0.154627,1.466002,0.074571,0.393777,0.130725,25.485374,0.081483,0.517436,0.12764,43.348858,0.015922,0.010401,0.003953,0.008603,3.360986,0.121701,27.616824,2.874183
PSO,0.044997,0.230554,0.148868,2.933422,0.04214,0.300527,0.121156,21.782654,0.077685,0.438945,0.119214,39.536256,0.011501,0.009007,0.008386,0.024254,3.145544,0.112778,27.891579,2.694434
PSO,0.067265,0.210435,0.155166,0.9406,0.076762,0.441354,0.134024,25.73108,0.086813,0.51257,0.121995,38.545018,0.016729,0.010053,0.007558,0.002748,3.193054,0.109262,29.223872,2.756007
PSO,0.063333,0.201674,0.150402,1.876758,0.053234,0.397645,0.131493,24.008441,0.080936,0.511255,0.122431,43.187344,0.016514,0.01186,0.018806,-0.012876,2.461101,0.124068,19.836702,1.964828
PSO,0.062893,0.20131,0.153853,0.850247,0.05476,0.393759,0.134341,23.83629,0.084726,0.500581,0.121698,43.358839,0.015629,0.011872,0.023446,-0.01015,2.771011,0.106812,25.942892,2.343763
PSO,0.060705,0.200157,0.14972,2.200663,0.063238,0.360507,0.13176,24.383042,0.080272,0.506497,0.12443,43.170423,0.016305,0.010965,0.016094,0.013837,3.329632,0.123915,26.870283,2.833972
PSO,0.067075,0.209614,0.152917,2.394356,0.068039,0.401079,0.132171,24.647398,0.083293,0.511052,0.125147,42.607005,0.0163,0.011405,0.013513,0.01037,3.405024,0.125274,27.180561,2.903927
PSO,0.064959,0.204722,0.15722,3.455484,0.044434,0.323489,0.127008,24.609258,0.070662,0.483648,0.123246,43.101102,0.0146,0.010125,0.004311,-0.013027,2.58599,0.133107,19.427885,2.053562
PSO,0.066891,0.206387,0.153111,2.16456,0.070347,0.387203,0.129924,26.453953,0.078621,0.536992,0.127879,41.282809,0.015965,0.011169,0.010692,0.006311,3.349873,0.123469,27.131247,2.855996
PSO,0.06676,0.246351,0.13857,3.349254,0.056203,0.306167,0.133178,18.829713,0.081074,0.504115,0.123732,42.883291,0.024615,0.012879,0.015852,0.020834,3.096859,0.11909,26.004441,2.620501
PSO,0.071557,0.480537,0.151994,1.132916,0.071457,0.421483,0.136211,24.633981,0.087153,0.520048,0.125693,39.259179,0.01832,0.012127,0.007013,-0.010843,2.919846,0.114337,25.537205,2.462498
PSO,0.0695,0.258396,0.152119,2.396073,0.066561,0.408113,0.13228,24.846275,0.083616,0.520098,0.124911,42.676241,0.017006,0.011434,0.015927,0.011872,3.408985,0.124825,27.310182,2.909686
PSO,0.067057,0.209883,0.150667,2.254783,0.067486,0.397827,0.131764,25.126916,0.082609,0.512233,0.125995,41.816717,0.01662,0.011243,0.018414,0.005349,3.332611,0.122527,27.198938,2.842502
PSO,0.060975,0.200296,0.151288,2.272115,0.061031,0.380033,0.13077,24.654525,0.079822,0.513146,0.124764,39.898489,0.01633,0.011532,0.017494,0.012138,3.281746,0.117016,28.04534,2.813683
