epoch,train_loss,val_loss
1,0.041595704016751715,0.020484881475567818
2,0.013522247375779681,0.010124200955033302
3,0.008700375503450632,0.007450345437973738
4,0.00683861379923092,0.006168459542095661
5,0.005689092539979352,0.005304794758558273
6,0.0050986953125231795,0.00482605816796422
7,0.004629647760755486,0.004494448192417622
8,0.00433255858692858,0.00420205807313323
9,0.004028871760335234,0.004021434113383293
10,0.0038403573410875267,0.0037707609590142965
11,0.003665470331907272,0.0037485570646822453
12,0.0035485135528859164,0.003584819147363305
13,0.0034536313932471805,0.00351465935818851
14,0.0033725005026492808,0.003470322582870722
15,0.003288936799979872,0.003460958134382963
16,0.0032097860380676056,0.0032808685209602118
17,0.0031329142928702963,0.0032793169375509024
18,0.0030711170573367013,0.0031977673061192036
19,0.0030449282702969182,0.003142690984532237
20,0.0029691513067980606,0.0031069633550941944
21,0.0029485765038265123,0.003083789022639394
22,0.002904202627821101,0.003027001628652215
23,0.002864935390278697,0.0030615036375820637
24,0.0028938638497226768,0.0029918309301137924
25,0.002813166796896193,0.002949774730950594
26,0.0027825734864837595,0.002967533888295293
27,0.0027883770240843295,0.002945665270090103
28,0.0027349039640525976,0.0029051792807877064
29,0.0028027032498932547,0.0028598662465810776
30,0.0027171121814681424,0.0029184764716774225
31,0.0027021461521502996,0.0029079504311084747
32,0.002707924316028754,0.002843544352799654
33,0.002663166956330339,0.0028901805635541677
34,0.0026837259611404603,0.002842212561517954
35,0.0026429595167769327,0.0028102679643779993
36,0.002644176297030515,0.0028606713749468327
37,0.002662921454972691,0.0028251183684915304
38,0.002614687354647451,0.0027853401843458414
39,0.002596028997318612,0.0028568822890520096
40,0.002614218931769331,0.0028069179970771074
41,0.002586673634491033,0.002832668600603938
42,0.0025990482629421685,0.0027211010456085205
43,0.002586489249434736,0.002785356482490897
44,0.0025561164320011933,0.002750659128651023
45,0.0025582118123852545,0.0028095529414713383
46,0.0025609236110001802,0.002735486486926675
47,0.002541661161051856,0.002781272865831852
48,0.0025404685550183058,0.002794763771817088
49,0.002559496920787626,0.0027458351105451584
50,0.0025226792576909067,0.0027880389243364334
51,0.002523122050555216,0.0027256286703050137
52,0.002503334249746468,0.002710616448894143
53,0.002513453686411182,0.002723453799262643
54,0.0025125365922931166,0.0027631265111267567
55,0.002499489905618959,0.002721010707318783
56,0.002493436958193779,0.0027027532923966646
57,0.0024766897238294285,0.0026789624243974686
58,0.0025074109977400966,0.002808590652421117
59,0.0025123390983459023,0.0027006908785551786
60,0.002461365837810768,0.0026906102430075407
61,0.0024589283175104194,0.0026817885227501392
62,0.00246029408717321,0.0027205205988138914
63,0.0024613593880583842,0.0027193452697247267
64,0.002448284692756004,0.0027263725642114878
65,0.0024371405633787312,0.0026772546116262674
66,0.002440099476228158,0.002704678801819682
67,0.0024357781501114367,0.002685676794499159
68,0.002438522373015682,0.0028226289432495832
69,0.0024394032916923362,0.0027012899518013
70,0.0024208433429565696,0.0026799223851412535
71,0.0024273712069127294,0.0026952289044857025
72,0.002410885737563173,0.002667258260771632
73,0.0024100472219122783,0.00268370658159256
74,0.0024004148871451616,0.0027072338853031397
75,0.0023954323148892985,0.002662352751940489
76,0.0023881508661227095,0.002668019849807024
77,0.0023904062355640863,0.0026707977522164583
78,0.0023819065249049,0.0026550975162535906
79,0.0023825781010505228,0.0026771300472319126
80,0.002373117466453049,0.002678047167137265
81,0.002367815538619955,0.0026817352045327425
82,0.0023651004634300866,0.002693661954253912
83,0.0023633048552109135,0.0027039439883083105
84,0.0023815915485223133,0.0027262999210506678
85,0.0023574975822700395,0.00269641587510705
86,0.0023478560939927894,0.0026604977902024984
87,0.002335231139999297,0.0026950694154947996
88,0.002335780364324649,0.002664088038727641
89,0.0023291439903030792,0.002721699420362711
90,0.002331893151046501,0.0026757842861115932
91,0.002328964636036091,0.0026724962517619133
92,0.0023117369038694433,0.0026856877375394106
93,0.0023062859401272403,0.0026789980474859476
94,0.0023045819404390122,0.002687065862119198
95,0.0023094114142987463,0.0026959124952554703
96,0.002294029690060351,0.0026950491592288017
97,0.0023101811056087415,0.0026779689360409975
98,0.002276619347019328,0.002672424539923668
99,0.002274550422032674,0.002688755514100194
100,0.0022722781161881155,0.0027007986791431904
101,0.0022691624658140873,0.0027633015997707844
102,0.002266217854693532,0.0027046718169003725
103,0.0022505806691447893,0.0027172111440449953
104,0.0022546706904719273,0.0027111449744552374
105,0.002241286718878481,0.002713605063036084
106,0.00223601947043505,0.0026956875808537006
107,0.0022245208916647566,0.0027200160548090935
108,0.0022118271395315725,0.0027143373154103756
109,0.0022163934933394193,0.0027225948870182037
110,0.0022070945439487694,0.0027395817451179028
111,0.002196077469835679,0.002730072010308504
112,0.00219759510917796,0.0027422893326729536
113,0.002184131383432282,0.0027377349324524403
114,0.0021808882111642096,0.0027344252448529005
115,0.0021643267433924807,0.0027597856242209673
116,0.0021577035643739833,0.002773120766505599
117,0.0021555841821100977,0.0027642021887004375
118,0.0021458411262681087,0.0027618608437478542
