optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
LHS,0.04294,0.350969,0.12256,0.134861,0.060161,0.404246,0.128383,25.409859,0.086657,0.495534,0.101956,33.969628,0.023829,0.017006,-0.00087,-0.006468,2.752422,0.108623,25.339152,2.317929
LHS,0.078487,0.210448,0.127,0.821205,0.064511,0.46876,0.101405,12.097475,0.079991,0.494035,0.114603,34.286654,0.021682,0.02368,-0.012699,0.017661,2.516157,0.072483,34.713891,2.226226
LHS,0.086008,0.266874,0.136953,3.282776,0.041497,0.536673,0.108844,22.143392,0.061992,0.300025,0.102663,30.507771,0.013336,0.025714,0.001963,0.011541,2.962833,0.100015,29.623999,2.562775
LHS,0.043642,0.453967,0.145309,4.064539,0.046385,0.585403,0.127916,12.927556,0.056551,0.530824,0.101223,27.856646,0.01069,0.020689,0.003086,0.004418,2.552186,0.087698,29.101925,2.201393
LHS,0.064174,0.206103,0.152196,1.379757,0.044775,0.569506,0.134836,23.384789,0.065036,0.418435,0.124462,27.601827,0.011608,0.024219,-0.009563,-0.004835,2.701392,0.080567,33.529872,2.379125
LHS,0.07724,0.270246,0.155421,0.378494,0.043734,0.313597,0.115819,20.361781,0.081406,0.573939,0.121103,37.521744,0.009097,0.013993,0.020438,0.024391,2.972407,0.086028,34.551532,2.628294
LHS,0.053854,0.412079,0.135942,2.783033,0.08162,0.528892,0.120076,24.185247,0.056715,0.533904,0.108933,28.266948,0.020816,0.014729,0.003845,0.014745,2.740796,0.104163,26.31257,2.324144
LHS,0.046483,0.291855,0.140469,3.335765,0.077699,0.560344,0.111447,17.990506,0.06744,0.468981,0.115549,29.84124,0.025492,0.02167,0.013121,0.018463,2.786791,0.097301,28.64087,2.397586
LHS,0.04988,0.320839,0.129432,2.388083,0.046117,0.523049,0.109533,17.785173,0.060968,0.475407,0.123683,29.970761,0.014785,0.02399,-0.012226,0.005008,2.624209,0.089498,29.32147,2.266217
LHS,0.086914,0.219966,0.133639,4.815986,0.046978,0.368004,0.123386,17.810889,0.052952,0.567745,0.107421,28.859792,0.019638,0.011277,0.000109,-0.009088,2.825466,0.096828,29.180227,2.438153
LHS,0.052594,0.449815,0.154696,3.33276,0.040152,0.558467,0.138618,17.166604,0.06219,0.35297,0.106907,41.504786,0.009364,0.015659,0.003628,-0.014168,2.258879,0.119339,18.928184,1.781521
LHS,0.044814,0.332225,0.121172,1.635038,0.071959,0.50325,0.121934,20.203945,0.083264,0.562973,0.101926,37.128327,0.010131,0.024282,-0.004195,0.014289,2.882906,0.119903,24.043677,2.403294
LHS,0.060886,0.454238,0.157036,0.930609,0.065308,0.490876,0.135909,14.020634,0.06626,0.520697,0.123993,31.300605,0.010792,0.016436,-0.014188,0.023222,2.593137,0.071005,36.5205,2.309117
LHS,0.041413,0.286619,0.152268,4.907969,0.067438,0.334962,0.13516,12.165428,0.08097,0.376992,0.11867,31.496073,0.01919,0.020179,-0.000418,0.020787,2.760556,0.095402,28.936119,2.378949
LHS,0.047284,0.488605,0.124417,4.250894,0.061766,0.358375,0.13763,26.762136,0.053722,0.440034,0.121615,28.988215,0.017011,0.009497,0.024834,0.009173,2.779498,0.13053,21.293979,2.257379
LHS,0.07623,0.435735,0.123995,2.117237,0.050406,0.365404,0.114349,15.305527,0.041175,0.486135,0.129096,35.004851,0.013119,0.021786,-0.011974,0.024475,2.565156,0.0881,29.1164,2.212756
LHS,0.075264,0.228102,0.135184,1.528908,0.065699,0.36607,0.134493,24.367162,0.081303,0.306785,0.126218,39.024659,0.011036,0.018379,-0.009673,-0.012585,2.816864,0.111238,25.322752,2.37191
LHS,0.086784,0.255839,0.14682,0.567019,0.044701,0.551666,0.104438,12.632124,0.076334,0.537923,0.12294,41.046804,0.014312,0.017035,0.000957,-0.006534,2.223576,0.092364,24.074005,1.85412
LHS,0.072785,0.422707,0.15709,4.493996,0.080947,0.311606,0.134092,18.705163,0.068533,0.319952,0.119887,33.726274,0.018419,0.011406,-0.000347,-0.014493,2.870846,0.114724,25.023844,2.411949
LHS,0.080231,0.337633,0.123678,0.445046,0.075117,0.550328,0.124704,13.82477,0.070773,0.54224,0.107231,28.315202,0.011306,0.008956,-0.004545,-0.014585,2.347201,0.066002,35.562793,2.083194
LHS,0.085708,0.303883,0.124993,1.205508,0.043432,0.416308,0.134882,19.018244,0.054991,0.548693,0.112452,41.138276,0.018617,0.02413,0.014942,-0.012707,2.280341,0.108959,20.928341,1.844503
LHS,0.089787,0.225894,0.134079,2.729179,0.04208,0.416658,0.12947,19.163313,0.050977,0.355477,0.116203,32.926888,0.012165,0.010392,0.008121,0.000247,2.918138,0.088122,33.114805,2.56565
LHS,0.082407,0.415952,0.146384,0.368027,0.059821,0.377889,0.138097,14.718746,0.08207,0.54772,0.119132,42.85258,0.01227,0.014235,0.013228,0.007954,2.713728,0.0924,29.369428,2.344129
