optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
GA,0.080384,0.268104,0.126783,1.910276,0.044407,0.443995,0.121044,26.412479,0.070893,0.53296,0.111377,40.723047,0.018754,0.01318,0.00908,0.010554,3.281389,0.122437,26.800659,2.791641
GA,0.049141,0.282483,0.128741,3.380073,0.09,0.55756,0.105781,18.614995,0.071798,0.493815,0.127832,36.706893,0.02119,0.011701,-0.000382,0.015341,2.978978,0.125011,23.829663,2.478933
GA,0.073138,0.241943,0.142218,0.603707,0.078885,0.497006,0.128006,24.106081,0.06238,0.573976,0.12132,44.999969,0.0087,0.012724,0.001214,0.005574,3.316654,0.11164,29.708484,2.870094
GA,0.062377,0.344203,0.127803,1.605703,0.046789,0.452406,0.124234,25.015056,0.067384,0.536176,0.123678,42.904274,0.012344,0.019215,0.009174,0.013274,3.218321,0.1187,27.113061,2.743521
GA,0.081937,0.317562,0.125214,1.096297,0.071055,0.334187,0.12128,20.255637,0.076577,0.486065,0.107773,40.722499,0.022957,0.01143,0.012164,-0.002948,2.933223,0.101303,28.954901,2.52801
GA,0.074043,0.371395,0.137775,1.550745,0.085535,0.560712,0.138627,22.58174,0.067758,0.416746,0.112092,38.27921,0.018902,0.019204,-0.004389,0.016009,3.146599,0.111906,28.118277,2.698976
GA,0.083374,0.256894,0.133656,1.270201,0.075739,0.445617,0.110553,26.66794,0.061087,0.493838,0.126478,44.99999,0.010966,0.017674,-0.001221,-0.002978,3.099871,0.131224,23.622686,2.574974
GA,0.08017,0.312264,0.133391,2.422935,0.074423,0.456825,0.123017,23.922202,0.060732,0.480235,0.116823,40.489022,0.013496,0.015701,0.003511,-0.007688,3.035303,0.122548,24.768197,2.54511
GA,0.073028,0.460498,0.132501,2.413896,0.075061,0.493708,0.13432,21.114714,0.068933,0.497596,0.109703,32.685749,0.014798,0.015022,0.025452,0.006131,2.949534,0.100747,29.276727,2.546547
GA,0.072812,0.341996,0.122503,0.490528,0.073592,0.518142,0.11462,16.846479,0.049316,0.403207,0.100642,41.737409,0.022538,0.021772,0.012524,0.005438,2.385736,0.09823,24.287346,1.992818
GA,0.078365,0.478767,0.131307,3.761857,0.06639,0.559777,0.108894,19.696641,0.043182,0.385388,0.115053,29.583745,0.025255,0.021437,0.012949,-0.012941,2.759229,0.105679,26.109476,2.336512
GA,0.054537,0.34123,0.137197,2.810802,0.064165,0.518093,0.127403,26.760136,0.069168,0.552047,0.120204,39.866592,0.025118,0.01298,0.011701,0.002879,3.188608,0.137135,23.251657,2.64007
GA,0.06095,0.320193,0.157628,0.792101,0.0653,0.432539,0.128491,20.262112,0.076708,0.567051,0.112631,35.02941,0.022572,0.023805,0.020213,0.003323,2.792851,0.089759,31.114972,2.433815
GA,0.058996,0.259411,0.138025,2.420611,0.064676,0.353938,0.131166,18.184254,0.083851,0.490711,0.117424,40.949649,0.018957,0.017492,0.002668,0.003859,2.958639,0.11291,26.203533,2.506999
GA,0.060092,0.275036,0.134983,0.78134,0.0618,0.342847,0.124439,24.296739,0.074129,0.461236,0.111574,39.604189,0.016651,0.018209,0.002707,0.012242,3.096501,0.109343,28.319247,2.659131
GA,0.077774,0.289324,0.129518,1.085485,0.068838,0.545694,0.132428,20.130486,0.075823,0.544902,0.114304,36.566269,0.0087,0.015371,0.017757,0.014126,3.001557,0.098798,30.380795,2.606366
GA,0.058098,0.31838,0.133804,1.812153,0.073965,0.494773,0.124317,27.46514,0.066451,0.588684,0.116139,44.077639,0.015369,0.018597,0.01367,0.004076,3.267239,0.127337,25.658271,2.757892
GA,0.052288,0.357164,0.127445,2.277255,0.067672,0.401429,0.126613,24.353369,0.076267,0.532904,0.101597,41.14229,0.021576,0.017571,0.019296,0.019762,3.101041,0.141853,21.860907,2.533628
GA,0.076012,0.348092,0.138918,2.433889,0.073889,0.497285,0.106919,26.197482,0.081342,0.565841,0.123413,30.504188,0.015957,0.018033,0.010726,0.003778,2.946406,0.112739,26.134653,2.495448
GA,0.072954,0.40117,0.138905,1.335501,0.075903,0.435486,0.106447,26.620214,0.09,0.561224,0.124045,31.339098,0.015568,0.015621,0.011937,0.003982,2.955771,0.105295,28.071246,2.53459
GA,0.065003,0.234613,0.148026,1.235866,0.0633,0.442846,0.132196,24.534542,0.08517,0.403329,0.113298,45.0,0.021158,0.0261,0.021095,0.005248,2.657766,0.124103,21.415849,2.161355
GA,0.069863,0.373588,0.133497,1.091074,0.072633,0.495377,0.127159,20.799121,0.081757,0.3,0.110895,36.239182,0.015889,0.015172,0.001789,0.009503,3.001071,0.099883,30.045871,2.60154
GA,0.070584,0.332057,0.121967,1.539981,0.058738,0.438208,0.128264,23.256011,0.083406,0.442467,0.109052,43.099254,0.021631,0.013159,-0.001071,0.016643,3.196476,0.128069,24.959017,2.6842
GA,0.065417,0.336775,0.13743,2.608653,0.067043,0.469051,0.135563,19.610285,0.078838,0.515245,0.109388,43.885041,0.019335,0.015641,-0.006265,0.010876,3.137561,0.125877,24.925624,2.634053
GA,0.060643,0.347164,0.131769,1.423352,0.064823,0.559982,0.134704,25.524791,0.068253,0.527803,0.121475,40.725826,0.016753,0.021133,0.004096,0.010697,3.226496,0.11493,28.073484,2.766774
GA,0.048481,0.272062,0.157125,3.16466,0.0792,0.332597,0.103149,11.997641,0.059925,0.340963,0.118776,43.31747,0.023755,0.016549,-0.013877,0.006517,2.558165,0.106058,24.120436,2.133933
GA,0.047174,0.363921,0.155843,1.833215,0.049997,0.475756,0.107149,17.162708,0.080716,0.473935,0.126191,28.749221,0.009144,0.025621,0.01849,0.004951,2.659367,0.07472,35.591131,2.360487
GA,0.060905,0.349352,0.123026,1.125096,0.051793,0.469925,0.127104,24.181263,0.076588,0.537291,0.115832,43.521004,0.014872,0.021094,-0.002148,0.006036,2.871288,0.12658,22.683527,2.364967
GA,0.071625,0.236468,0.148317,2.130967,0.062359,0.456585,0.114352,25.768802,0.071846,0.585736,0.121834,38.858,0.021791,0.015455,0.009617,0.012514,3.037157,0.130494,23.274257,2.51518
GA,0.056389,0.355774,0.135542,1.960783,0.084791,0.449476,0.135624,21.900635,0.074401,0.577328,0.116708,37.820789,0.017258,0.021359,0.010635,0.010814,3.082444,0.113558,27.144314,2.628213
GA,0.058004,0.337614,0.142336,1.256359,0.051014,0.427553,0.114928,27.5,0.062193,0.508014,0.108833,40.650679,0.018587,0.016508,0.004428,0.01781,1.938554,0.19923,9.730218,1.141633
GA,0.076432,0.278,0.134183,0.334548,0.087518,0.49114,0.116086,24.203626,0.062327,0.599997,0.122918,41.104274,0.017157,0.012272,-0.002266,0.001852,3.10235,0.109324,28.377609,2.665054
GA,0.059252,0.309327,0.120562,1.61974,0.054575,0.450665,0.125397,24.238164,0.079848,0.460204,0.104413,37.367184,0.022362,0.021658,0.003856,0.011033,3.060328,0.121008,25.29033,2.576296
GA,0.0559,0.349472,0.146014,3.217791,0.070737,0.538609,0.130685,27.5,0.067302,0.538645,0.118628,37.854786,0.024515,0.013086,0.02025,0.007559,2.381413,0.159463,14.933918,1.743559
GA,0.049352,0.289759,0.13714,3.806066,0.063502,0.524991,0.12467,22.79057,0.081395,0.554203,0.127087,43.499889,0.013573,0.01758,-0.005663,0.013632,3.188408,0.152455,20.913702,2.578586
GA,0.077261,0.41391,0.14209,1.469015,0.081265,0.459956,0.138187,22.568507,0.083071,0.522177,0.121772,43.417602,0.011019,0.014466,0.018234,-0.00882,2.968902,0.116831,25.411868,2.501577
GA,0.088638,0.317943,0.137038,1.520512,0.058119,0.422851,0.139162,24.408698,0.070581,0.447668,0.107419,39.205884,0.018171,0.019902,0.013029,0.021483,3.175856,0.106454,29.833196,2.750041
GA,0.072435,0.411052,0.125826,1.445889,0.073985,0.507879,0.125304,26.222247,0.073223,0.45373,0.122895,41.535433,0.0261,0.022365,-0.001227,0.018635,3.21518,0.128465,25.027729,2.701322
GA,0.06829,0.305592,0.122514,1.481087,0.06452,0.444286,0.118594,23.970871,0.070359,0.551135,0.117504,45.0,0.014107,0.019253,0.015576,0.014845,3.110356,0.127159,24.460279,2.601718
GA,0.067974,0.285138,0.145434,1.816443,0.071639,0.436525,0.128335,22.86339,0.063311,0.507626,0.115379,36.330655,0.024879,0.023332,0.023021,0.008507,3.048712,0.102356,29.785323,2.639288
GA,0.07169,0.438523,0.131206,1.943843,0.085867,0.361521,0.130268,24.503199,0.043714,0.546468,0.103232,29.333307,0.011659,0.021797,-0.005122,0.019551,2.787393,0.09667,28.833961,2.400711
GA,0.083666,0.300487,0.126893,0.719971,0.087896,0.578285,0.10796,18.941312,0.084418,0.481961,0.11562,34.159451,0.02404,0.021313,0.015006,0.01335,2.929867,0.092068,31.82279,2.561594
GA,0.052661,0.376288,0.140675,2.701535,0.073127,0.460798,0.118752,22.489817,0.086942,0.6,0.111449,42.745323,0.016001,0.016979,0.012681,0.016774,3.150236,0.130313,24.174413,2.628985
GA,0.070218,0.304078,0.12997,2.562107,0.068663,0.462748,0.106171,21.538227,0.06959,0.510149,0.12474,42.506146,0.023624,0.016936,-0.001773,0.011934,3.183253,0.128575,24.757983,2.668954
GA,0.076196,0.280842,0.128202,2.183171,0.073037,0.380099,0.131478,22.416553,0.082093,0.6,0.106433,41.190588,0.017988,0.021198,0.014368,0.017144,3.210219,0.124509,25.7831,2.712184
GA,0.061914,0.361762,0.123139,2.681653,0.057793,0.435732,0.118445,26.182198,0.064058,0.583532,0.107929,39.769024,0.02234,0.017361,0.013265,0.018257,3.07235,0.151465,20.284248,2.466491
GA,0.071395,0.339364,0.127851,2.239834,0.060387,0.354248,0.129264,21.456729,0.077989,0.542922,0.116309,41.787575,0.014159,0.018147,0.002325,0.008781,3.113588,0.125931,24.724524,2.609863
GA,0.069293,0.392007,0.135414,1.712128,0.080544,0.43418,0.12792,22.080785,0.070683,0.554539,0.117184,32.13767,0.011368,0.01668,-7.5e-05,0.007822,2.923135,0.099977,29.238016,2.523226
GA,0.075089,0.304348,0.135347,0.701872,0.065086,0.515717,0.124256,23.610282,0.064651,0.373204,0.11241,40.392469,0.011966,0.015108,0.004888,-0.006269,3.074958,0.106208,28.952243,2.650126
GA,0.080411,0.406536,0.142374,3.869919,0.068963,0.406463,0.136118,19.840244,0.05105,0.371335,0.122929,34.349474,0.020242,0.014459,0.014104,0.005399,3.05679,0.112702,27.122787,2.605982
GA,0.08664,0.463156,0.153673,3.591538,0.074232,0.486077,0.128658,22.490601,0.070484,0.559572,0.128793,32.300803,0.0261,0.023115,0.012446,0.019624,3.13243,0.115799,27.05049,2.669233
GA,0.071004,0.5,0.145729,4.132736,0.041381,0.425714,0.136226,26.039681,0.069487,0.501911,0.123124,30.493021,0.013731,0.017041,0.0227,0.004972,3.015408,0.119069,25.324804,2.53913
GA,0.060005,0.418401,0.145231,3.886709,0.076857,0.382456,0.125834,23.979721,0.049465,0.473184,0.116354,35.20331,0.017734,0.021348,0.010639,0.010492,3.142956,0.119717,26.253201,2.664088
GA,0.082663,0.5,0.156438,3.885067,0.044188,0.544302,0.115944,22.030944,0.073131,0.50917,0.126227,28.965114,0.022999,0.02393,0.009107,0.020157,2.959995,0.110631,26.755601,2.517471
GA,0.049468,0.245439,0.140319,2.624801,0.068345,0.475149,0.107175,13.488029,0.080701,0.351293,0.106807,31.890339,0.020794,0.020494,0.008334,-0.008562,2.539025,0.081334,31.217158,2.213688
GA,0.056191,0.460329,0.12322,2.659026,0.079008,0.471342,0.110054,12.874351,0.056518,0.380619,0.113403,42.041692,0.010425,0.011632,-0.010416,0.015461,2.788919,0.107663,25.904195,2.358268
GA,0.081053,0.413847,0.138205,2.644184,0.057194,0.377877,0.133964,26.944752,0.05502,0.422594,0.122175,36.016715,0.01279,0.022681,0.02249,0.020803,3.19742,0.114652,27.887977,2.738811
GA,0.071544,0.389313,0.138172,3.666226,0.080516,0.400665,0.117866,16.796685,0.055857,0.397517,0.118135,39.977756,0.023068,0.008728,0.001275,0.012851,3.166483,0.119964,26.395287,2.686628
GA,0.082606,0.399983,0.152228,3.344258,0.066398,0.435369,0.129998,23.318273,0.071442,0.473097,0.114714,28.703315,0.021959,0.017524,0.018713,0.002762,2.987557,0.101035,29.569549,2.583418
