optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
CMA-ES,0.066511,0.208144,0.15382,2.296032,0.075709,0.317966,0.129316,22.119185,0.075049,0.520778,0.124951,42.924218,0.015299,0.009788,0.023513,0.016753,3.365682,0.117117,28.737746,2.897214
CMA-ES,0.061393,0.200972,0.145086,1.241467,0.083361,0.370937,0.128264,24.001626,0.074674,0.447067,0.122725,43.543192,0.015929,0.01037,0.023396,0.01109,3.285755,0.116247,28.265344,2.820768
CMA-ES,0.06701,0.214724,0.152884,2.156981,0.080205,0.301432,0.130521,21.462318,0.075196,0.453257,0.124874,43.398831,0.014894,0.009056,0.004204,0.018612,3.346288,0.117039,28.591318,2.878134
CMA-ES,0.072531,0.465471,0.153264,1.203401,0.071047,0.300708,0.131004,18.226476,0.076087,0.492112,0.127125,39.428165,0.016749,0.009025,0.023098,0.019166,3.06139,0.096751,31.641957,2.674387
CMA-ES,0.068766,0.24778,0.15276,0.273905,0.066474,0.309237,0.127962,21.959211,0.075023,0.338891,0.126345,38.988617,0.015411,0.00965,0.013714,0.015135,3.118848,0.089172,34.97547,2.762158
CMA-ES,0.070033,0.248591,0.156091,1.321066,0.079026,0.325383,0.130631,24.052333,0.081207,0.508958,0.12402,39.428743,0.015851,0.009619,-0.010061,0.013925,3.26141,0.111781,29.176883,2.814288
CMA-ES,0.069017,0.481689,0.155756,2.164971,0.072196,0.304544,0.128683,21.336184,0.074835,0.490504,0.126585,42.40982,0.016598,0.009339,0.009461,0.018993,3.288531,0.120321,27.33142,2.807249
CMA-ES,0.061282,0.20021,0.142373,1.014873,0.074214,0.443077,0.127464,23.537214,0.075472,0.516982,0.124377,39.000924,0.016538,0.01206,0.013688,0.012526,3.148955,0.107255,29.359462,2.719934
CMA-ES,0.068897,0.242049,0.145109,2.119257,0.084503,0.325985,0.128854,24.381196,0.07495,0.532551,0.123954,43.312115,0.015458,0.009517,0.023353,0.013441,3.402634,0.119053,28.580843,2.926422
CMA-ES,0.064202,0.203636,0.152765,2.022476,0.081146,0.309313,0.129416,25.447634,0.075121,0.481055,0.123807,43.172323,0.015379,0.009311,0.014585,0.013742,3.395805,0.124107,27.361843,2.899376
CMA-ES,0.068481,0.234717,0.150704,2.180988,0.086195,0.359749,0.126114,21.120635,0.072864,0.531796,0.124074,42.395805,0.015135,0.010059,0.013461,0.015777,3.341634,0.115268,28.990108,2.880562
CMA-ES,0.071955,0.329307,0.15117,2.193326,0.069829,0.300081,0.130817,22.200493,0.074921,0.455959,0.121941,41.838967,0.015414,0.008869,0.001491,0.019773,3.323297,0.115707,28.721712,2.86047
CMA-ES,0.069064,0.240145,0.15171,2.408787,0.06758,0.308824,0.129063,23.755658,0.074002,0.499262,0.125688,43.318455,0.015823,0.009412,0.015709,0.018042,3.395594,0.123958,27.393156,2.899763
CMA-ES,0.065092,0.205421,0.153603,2.134596,0.077652,0.394866,0.131766,24.190673,0.080453,0.438851,0.12514,40.876371,0.015566,0.01186,0.02361,0.007806,3.311266,0.116619,28.393771,2.844788
CMA-ES,0.065383,0.201604,0.151007,0.979871,0.062938,0.399202,0.126131,24.541682,0.072302,0.503152,0.127688,38.572628,0.015438,0.011646,0.023557,0.01251,3.164563,0.100212,31.578666,2.763714
CMA-ES,0.070027,0.269989,0.149363,2.104828,0.082029,0.300281,0.1284,22.102021,0.072696,0.411995,0.122992,41.642298,0.014858,0.00895,0.000398,0.018777,3.314059,0.11185,29.629519,2.866659
CMA-ES,0.067902,0.223185,0.154931,2.190048,0.076126,0.365818,0.128998,24.68543,0.076351,0.525386,0.122718,43.254036,0.015112,0.010489,0.023154,0.010396,3.409023,0.123275,27.653747,2.915922
CMA-ES,0.069853,0.243797,0.15081,0.429334,0.056034,0.300604,0.123781,22.500715,0.067618,0.494476,0.120403,36.964049,0.015158,0.009023,0.022859,0.020677,3.029672,0.085944,35.251863,2.685898
CMA-ES,0.060938,0.200355,0.150307,1.829764,0.070226,0.303599,0.131331,24.487003,0.078022,0.498342,0.123325,43.385122,0.015777,0.009177,0.018276,0.0155,3.38165,0.118384,28.565108,2.908114
CMA-ES,0.061258,0.200565,0.150611,0.696501,0.07026,0.322376,0.129212,24.614566,0.076957,0.516239,0.120779,42.957223,0.01538,0.009731,0.023432,0.013727,3.284476,0.106995,30.697567,2.856498
CMA-ES,0.068393,0.238004,0.15456,1.262972,0.081904,0.349471,0.132098,24.929753,0.081613,0.497361,0.122473,43.542595,0.0156,0.010043,0.022848,0.010828,3.399944,0.115831,29.352747,2.936622
CMA-ES,0.068914,0.247638,0.153115,2.301798,0.069172,0.37109,0.133481,25.516517,0.084071,0.507232,0.123755,43.199886,0.015823,0.010971,0.022994,0.009575,3.409235,0.126988,26.846945,2.901284
CMA-ES,0.066939,0.21295,0.154481,2.305014,0.072854,0.303534,0.133676,23.145257,0.081874,0.497366,0.123895,42.888193,0.016076,0.009203,0.01905,0.017603,3.409083,0.12019,28.364081,2.928323
CMA-ES,0.068776,0.247968,0.15216,2.501825,0.068916,0.350311,0.127265,25.174598,0.07383,0.526244,0.124874,39.307883,0.016455,0.010249,0.019223,0.00915,3.297404,0.119181,27.667224,2.82068
CMA-ES,0.062215,0.200384,0.145744,0.459272,0.08111,0.302367,0.11853,22.248836,0.069853,0.486393,0.124427,40.511807,0.014757,0.009012,0.02331,0.017732,3.147816,0.097429,32.30891,2.758101
CMA-ES,0.067687,0.232941,0.154569,2.126437,0.075676,0.304101,0.130974,25.307049,0.077394,0.503214,0.125001,40.233581,0.016241,0.009162,0.022736,0.014669,3.319551,0.116631,28.462073,2.853028
CMA-ES,0.06431,0.202626,0.151191,2.014145,0.070904,0.356294,0.132553,24.409799,0.081162,0.507724,0.123021,43.301731,0.015627,0.010709,0.023198,0.012815,3.413731,0.119996,28.448822,2.933749
CMA-ES,0.066252,0.210195,0.142344,1.019148,0.081854,0.300358,0.131481,21.891847,0.074767,0.480914,0.125115,43.680666,0.014986,0.008844,0.023235,0.018456,3.277442,0.1052,31.154406,2.856642
CMA-ES,0.071957,0.284859,0.139477,1.158681,0.079637,0.300027,0.129633,22.172288,0.073654,0.485718,0.125792,39.322905,0.015783,0.008785,0.017272,0.020055,3.172466,0.103498,30.652578,2.758476
CMA-ES,0.060427,0.200338,0.148987,2.391523,0.081793,0.308485,0.131031,23.906216,0.078404,0.508658,0.122139,43.219072,0.015054,0.009365,0.023392,0.01544,3.369511,0.126904,26.551746,2.861897
CMA-ES,0.059764,0.395918,0.144718,1.031935,0.083703,0.443341,0.136353,23.469626,0.087373,0.524429,0.124431,39.412672,0.016598,0.012624,0.022272,0.001943,3.135168,0.107583,29.14173,2.704834
CMA-ES,0.062082,0.200844,0.148586,0.879696,0.076277,0.306115,0.132683,21.703711,0.077742,0.481775,0.122373,38.678448,0.016021,0.009236,0.023136,0.015912,3.148616,0.095722,32.893462,2.76573
CMA-ES,0.067469,0.224048,0.152459,2.365679,0.074177,0.300771,0.129539,23.997123,0.075075,0.504972,0.124311,39.329878,0.014829,0.008992,0.023103,0.016973,3.302475,0.1145,28.842542,2.844475
CMA-ES,0.068894,0.248737,0.15564,1.107519,0.07871,0.347939,0.131055,25.635798,0.079709,0.508294,0.124255,43.602404,0.017101,0.010098,0.02088,0.009634,3.392336,0.117255,28.931265,2.923316
CMA-ES,0.06296,0.201754,0.149261,2.190898,0.084244,0.335437,0.12923,23.440262,0.076534,0.525075,0.123075,42.385392,0.016095,0.009786,0.019846,0.013597,3.36059,0.117777,28.533482,2.889482
CMA-ES,0.070592,0.296886,0.15365,2.204893,0.072871,0.30064,0.131972,23.586246,0.078509,0.504674,0.12324,43.334556,0.015615,0.008943,0.023411,0.01727,3.422224,0.116117,29.472272,2.957757
CMA-ES,0.062963,0.429368,0.155091,0.633278,0.065236,0.327596,0.136073,24.877513,0.086668,0.440491,0.128781,37.256368,0.018238,0.010232,0.02091,-0.009927,2.761614,0.100573,27.458909,2.359324
CMA-ES,0.065542,0.203739,0.150075,1.010003,0.062554,0.368817,0.135291,24.510586,0.085541,0.511092,0.124182,43.510703,0.01572,0.010946,0.022848,0.011922,3.327985,0.109831,30.301037,2.888662
CMA-ES,0.064534,0.203206,0.151632,0.975786,0.069612,0.347115,0.133072,24.67413,0.084335,0.491092,0.122387,38.705646,0.015998,0.010339,0.023024,0.011693,3.245821,0.102293,31.730552,2.836648
CMA-ES,0.055492,0.368323,0.154566,2.492319,0.070699,0.347648,0.133174,25.942307,0.085121,0.500668,0.117188,43.429697,0.017453,0.010629,0.023374,0.009302,3.428029,0.127298,26.929262,2.918839
CMA-ES,0.066573,0.212855,0.152568,2.073887,0.079414,0.300629,0.130682,23.928895,0.076128,0.493929,0.123867,40.781616,0.015388,0.008931,0.01693,0.017128,3.331628,0.116329,28.639635,2.866311
CMA-ES,0.066501,0.213677,0.146847,1.139806,0.077186,0.300024,0.131985,22.410011,0.075452,0.471664,0.122604,43.44445,0.015208,0.008781,0.020281,0.019188,3.336348,0.106038,31.463623,2.912195
CMA-ES,0.06687,0.218797,0.153275,1.218677,0.082165,0.344471,0.131787,25.596425,0.08163,0.484949,0.124277,39.686595,0.015842,0.010227,0.023061,0.011843,3.279732,0.109488,29.955051,2.841778
CMA-ES,0.07054,0.276092,0.151516,0.932775,0.084397,0.310953,0.130211,23.830567,0.078498,0.484592,0.125857,38.701114,0.016303,0.009227,0.008359,0.014492,3.227039,0.101694,31.732799,2.820262
CMA-ES,0.067967,0.228895,0.143725,2.130817,0.082917,0.300694,0.128837,24.519253,0.074489,0.50273,0.121842,40.186782,0.01566,0.008897,0.01601,0.015843,3.31114,0.113317,29.220105,2.857871
CMA-ES,0.068159,0.2238,0.148758,1.433537,0.064415,0.30062,0.131833,24.798535,0.076814,0.481645,0.123873,43.581669,0.01605,0.008932,0.020567,0.017255,3.373396,0.113724,29.66309,2.918502
CMA-ES,0.068239,0.247127,0.153491,2.362031,0.082358,0.389368,0.134703,23.790404,0.085513,0.456781,0.123259,43.186922,0.016103,0.011399,0.023189,0.01248,3.424226,0.12573,27.234847,2.921307
CMA-ES,0.070938,0.319945,0.146015,1.910881,0.085306,0.334583,0.132624,24.636972,0.082439,0.515654,0.122578,43.297751,0.016222,0.009721,0.022856,0.013666,3.411866,0.124498,27.405015,2.913875
CMA-ES,0.074407,0.379925,0.152317,0.479399,0.08444,0.302326,0.131985,24.173691,0.079789,0.481718,0.124485,42.984692,0.016327,0.009041,0.023123,0.017311,3.351937,0.107866,31.074952,2.920473
CMA-ES,0.065567,0.203637,0.152735,2.430772,0.069493,0.342631,0.128773,24.378258,0.074375,0.504852,0.12643,43.129577,0.015895,0.010008,0.018728,0.014064,3.415646,0.123202,27.72391,2.922838
CMA-ES,0.058,0.476676,0.154467,2.273821,0.073752,0.300281,0.132291,22.605617,0.081461,0.498464,0.111128,43.161603,0.016252,0.00891,0.023252,0.018028,3.344818,0.119708,27.941529,2.865987
CMA-ES,0.070785,0.304967,0.15351,2.099391,0.069676,0.317368,0.131714,24.867799,0.079026,0.49727,0.124637,43.313944,0.016613,0.009553,0.023448,0.014215,3.42764,0.118518,28.920852,2.953568
CMA-ES,0.067822,0.216762,0.154089,0.534549,0.074549,0.358891,0.131062,24.556466,0.080014,0.511975,0.125348,37.037112,0.015768,0.010436,0.023288,0.012719,3.126623,0.095562,32.718101,2.744373
CMA-ES,0.081817,0.216349,0.145881,2.140359,0.064816,0.300161,0.130695,23.982151,0.075528,0.454798,0.109871,39.440504,0.015584,0.008895,0.001943,0.017853,3.302794,0.112755,29.291724,2.851773
CMA-ES,0.069516,0.282251,0.15492,2.274306,0.074185,0.302702,0.131363,24.370315,0.079006,0.504817,0.120852,39.802623,0.016239,0.009129,0.015721,0.01541,3.364758,0.111791,30.098676,2.917595
CMA-ES,0.064226,0.205379,0.15305,2.218723,0.080404,0.310754,0.130777,24.560666,0.076665,0.427362,0.122508,43.265978,0.015932,0.009455,0.022775,0.014524,3.391313,0.123017,27.567808,2.899245
CMA-ES,0.068152,0.240162,0.153657,2.216737,0.077897,0.305424,0.133048,23.986955,0.081328,0.458056,0.123141,43.300582,0.015661,0.009263,0.023043,0.014752,3.394654,0.121595,27.917722,2.908275
CMA-ES,0.067093,0.226057,0.148654,2.563634,0.065592,0.329502,0.13186,25.365134,0.080591,0.486095,0.125258,38.831843,0.015671,0.010412,0.023092,0.009687,3.299184,0.117946,27.971887,2.827398
CMA-ES,0.070321,0.276408,0.150446,2.160457,0.0601,0.300565,0.129137,22.341533,0.072679,0.425054,0.127026,43.330871,0.015495,0.009044,0.0159,0.01915,3.336797,0.112079,29.771881,2.888482
CMA-ES,0.069374,0.249937,0.152303,2.301282,0.062966,0.383801,0.134662,23.367447,0.085786,0.492827,0.126779,43.421316,0.016829,0.011086,0.013659,0.013854,3.412409,0.121179,28.160062,2.927693
CMA-ES,0.067267,0.234641,0.154031,2.176821,0.074127,0.307275,0.129447,23.640797,0.074845,0.409092,0.122773,39.922257,0.015058,0.009471,0.022946,0.014649,3.272588,0.112283,29.145787,2.823454
CMA-ES,0.059959,0.200209,0.149461,0.351557,0.082036,0.330674,0.130328,23.721052,0.078878,0.506369,0.122623,37.019465,0.016609,0.009725,0.02089,0.013778,3.079351,0.096766,31.82275,2.692288
CMA-ES,0.068308,0.230974,0.153921,2.209645,0.069448,0.401139,0.131662,24.625714,0.08251,0.49287,0.123002,41.618981,0.016521,0.01152,0.014719,0.012271,3.363617,0.121082,27.779673,2.879289
CMA-ES,0.066225,0.212697,0.153556,2.10647,0.07073,0.317411,0.131855,25.281181,0.0804,0.480108,0.126346,40.408586,0.016392,0.009703,0.022063,0.011403,3.294321,0.117959,27.927745,2.822486
CMA-ES,0.066723,0.216306,0.148484,2.121374,0.069741,0.300066,0.131526,21.500443,0.073748,0.467286,0.123623,43.398442,0.014879,0.008837,0.022733,0.019744,3.317192,0.112733,29.425304,2.866261
CMA-ES,0.06443,0.20258,0.153982,0.334624,0.074925,0.380641,0.131309,24.360842,0.082661,0.456013,0.126345,38.712105,0.016575,0.011151,0.020107,0.000853,3.117187,0.098168,31.753462,2.724513
